,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Satisfaction Score,Churn Label
1276,Female,48,No,No,Yes,No,0,Q3,Yes,1,4,No Offer,Yes,4.14,Yes,Yes,Fiber Optic,30,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.95,3,Yes
1277,Male,26,Yes,No,No,No,0,Q3,No,0,3,No Offer,Yes,36.48,No,Yes,DSL,59,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.35,3,Yes
1278,Female,29,Yes,No,No,No,0,Q3,No,0,45,No Offer,Yes,4.48,Yes,Yes,Cable,51,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87.25,1,Yes
1279,Male,51,No,No,No,No,0,Q3,No,0,10,Offer D,Yes,27.57,Yes,Yes,Fiber Optic,13,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,98.55,1,Yes
1280,Female,37,No,No,No,No,0,Q3,No,0,15,No Offer,Yes,24.63,No,Yes,Fiber Optic,13,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.9,3,Yes
1281,Female,38,No,No,No,No,0,Q3,No,0,22,No Offer,Yes,18.01,No,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.25,1,Yes
1282,Male,31,No,No,Yes,No,0,Q3,Yes,1,3,No Offer,Yes,26.71,No,Yes,Fiber Optic,11,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.3,1,Yes
1283,Male,49,No,No,No,No,0,Q3,No,0,15,No Offer,Yes,48.93,Yes,Yes,Fiber Optic,15,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.35,1,Yes
1284,Female,45,No,No,No,No,0,Q3,No,0,1,No Offer,Yes,49.51,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.9,2,Yes
1285,Female,37,No,No,Yes,No,0,Q3,Yes,1,5,No Offer,Yes,41.57,No,Yes,Cable,27,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,88.9,1,Yes
1286,Male,24,Yes,No,Yes,No,0,Q3,Yes,1,33,Offer C,Yes,41.8,No,Yes,Fiber Optic,41,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,95.8,2,Yes
1287,Male,42,No,No,No,No,0,Q3,No,0,2,No Offer,Yes,41.18,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,82.0,3,Yes
1288,Male,63,No,No,No,No,0,Q3,No,0,2,No Offer,Yes,25.49,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.35,1,Yes
1289,Female,41,No,No,No,No,0,Q3,No,0,1,No Offer,Yes,34.04,No,Yes,DSL,23,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,52.2,1,Yes
1290,Male,58,No,No,No,No,0,Q3,No,0,62,Offer B,Yes,22.64,Yes,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,96.75,2,Yes
1291,Female,33,No,No,No,No,0,Q3,No,0,10,No Offer,Yes,14.53,Yes,Yes,Fiber Optic,30,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.5,1,Yes
1292,Male,61,No,No,No,No,0,Q3,No,0,6,No Offer,Yes,11.97,No,Yes,Fiber Optic,27,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,3,Yes
1293,Male,54,No,No,Yes,No,0,Q3,Yes,1,40,Offer B,Yes,22.56,Yes,Yes,Cable,4,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.3,1,Yes
1294,Male,27,Yes,No,No,No,0,Q3,No,0,1,Offer E,Yes,49.43,No,Yes,Fiber Optic,48,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,69.55,2,Yes
1295,Male,20,Yes,No,No,No,0,Q3,No,0,58,Offer B,Yes,44.5,Yes,Yes,Fiber Optic,47,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.25,1,Yes
1296,Male,25,Yes,No,No,No,0,Q3,No,0,70,Offer A,Yes,12.19,Yes,Yes,Fiber Optic,42,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,104.0,1,Yes
1297,Female,62,No,No,No,No,0,Q3,No,0,2,Offer E,Yes,24.05,No,Yes,Fiber Optic,27,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,86.2,3,Yes
1298,Male,24,Yes,No,Yes,No,0,Q3,Yes,1,21,No Offer,Yes,36.26,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,3,Yes
1299,Female,41,No,No,Yes,No,0,Q3,Yes,1,16,No Offer,Yes,31.73,No,Yes,Fiber Optic,25,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,89.45,3,Yes
1300,Male,21,Yes,No,Yes,No,0,Q3,Yes,1,60,Offer B,Yes,33.25,No,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,Yes,Yes,One Year,No,Bank Withdrawal,90.95,3,Yes
1301,Female,58,No,No,Yes,No,0,Q3,Yes,1,50,Offer B,Yes,29.43,Yes,Yes,Fiber Optic,14,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,108.55,2,Yes
1302,Male,45,No,No,No,No,0,Q3,No,0,1,Offer E,Yes,32.44,No,Yes,DSL,12,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,44.4,1,Yes
1303,Female,59,No,No,Yes,No,0,Q3,Yes,1,12,No Offer,Yes,37.65,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,19.8,3,Yes
1304,Male,21,Yes,No,No,No,0,Q3,No,0,1,Offer E,Yes,32.85,No,Yes,Fiber Optic,53,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.9,1,Yes
1305,Female,41,No,No,No,No,0,Q3,No,0,62,Offer B,Yes,32.58,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.15,3,Yes
1306,Male,58,No,No,No,No,0,Q3,No,0,1,Offer E,Yes,1.28,No,Yes,DSL,27,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.8,1,Yes
1307,Female,55,No,No,No,No,0,Q3,No,0,3,Offer E,Yes,47.62,No,Yes,Cable,29,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.1,1,Yes
1308,Male,52,No,No,No,No,0,Q3,No,0,22,No Offer,Yes,46.28,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,94.65,2,Yes
1309,Male,46,No,No,Yes,No,0,Q3,Yes,1,4,Offer E,Yes,14.3,No,Yes,Fiber Optic,2,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.6,3,Yes
1310,Male,24,Yes,No,Yes,No,0,Q3,No,0,59,Offer B,Yes,6.91,Yes,Yes,Fiber Optic,52,No,No,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,85.55,3,Yes
1311,Female,58,No,No,No,No,0,Q3,No,0,60,Offer B,No,0.0,No,Yes,Cable,5,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,50.8,2,Yes
1312,Female,54,No,No,No,No,0,Q3,No,0,15,No Offer,Yes,22.39,No,Yes,Fiber Optic,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.1,1,Yes
1313,Male,53,No,No,No,No,0,Q3,No,0,10,No Offer,Yes,18.03,No,Yes,Fiber Optic,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,110.1,1,Yes
1314,Female,40,No,No,No,No,0,Q3,No,0,6,No Offer,Yes,25.93,No,Yes,Fiber Optic,24,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,83.9,1,Yes
1315,Female,48,No,No,Yes,No,0,Q3,Yes,3,63,Offer B,Yes,8.98,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,100.55,2,Yes
1316,Male,55,No,No,Yes,No,0,Q3,Yes,6,50,Offer B,Yes,42.21,Yes,Yes,Fiber Optic,14,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.85,2,Yes
1317,Female,39,No,No,No,No,0,Q3,No,0,1,No Offer,No,0.0,No,Yes,DSL,12,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,24.6,2,Yes
1318,Female,64,No,No,No,No,0,Q3,No,0,12,No Offer,Yes,34.92,No,Yes,Cable,23,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.9,1,Yes
1319,Female,27,Yes,No,No,No,0,Q3,No,0,9,No Offer,Yes,38.76,Yes,Yes,Fiber Optic,82,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,98.3,2,Yes
1320,Male,36,No,No,No,No,0,Q3,No,0,17,No Offer,Yes,4.51,No,Yes,Fiber Optic,13,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,93.85,1,Yes
1321,Female,37,No,No,No,No,0,Q3,No,0,13,No Offer,Yes,3.84,No,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.15,1,Yes
1322,Female,51,No,No,No,No,0,Q3,No,0,6,No Offer,Yes,19.74,Yes,Yes,Fiber Optic,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.05,1,Yes
1323,Female,32,No,No,No,No,0,Q3,No,0,3,No Offer,Yes,23.82,Yes,Yes,Fiber Optic,24,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,74.4,3,Yes
1324,Male,21,Yes,No,Yes,No,0,Q3,Yes,1,1,No Offer,Yes,32.08,No,Yes,DSL,73,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,44.7,3,Yes
1325,Male,36,No,No,No,No,0,Q3,No,0,1,No Offer,Yes,10.41,No,Yes,DSL,17,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,45.7,3,Yes
1326,Male,53,No,No,No,No,0,Q3,No,0,7,No Offer,Yes,9.14,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.25,3,Yes
1327,Female,57,No,No,No,No,0,Q3,No,0,2,No Offer,Yes,48.34,Yes,Yes,Fiber Optic,28,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.0,2,Yes
1328,Female,30,No,No,No,No,0,Q3,No,0,1,Offer E,Yes,15.44,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,90.55,2,Yes
1329,Male,30,No,No,No,No,0,Q3,No,0,71,Offer A,Yes,49.42,Yes,Yes,Fiber Optic,53,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.05,1,Yes
1330,Male,51,No,No,No,No,0,Q3,No,0,1,Offer E,Yes,45.66,No,Yes,Fiber Optic,28,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.9,3,Yes
1331,Male,41,No,No,No,No,0,Q3,No,0,1,Offer E,Yes,5.43,Yes,Yes,Fiber Optic,18,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,3,Yes
1332,Female,28,Yes,No,No,No,0,Q3,No,0,35,Offer C,Yes,45.14,Yes,Yes,Fiber Optic,41,No,Yes,No,Yes,No,No,Yes,No,Month-to-Month,No,Credit Card,85.3,2,Yes
1333,Female,61,No,No,No,No,0,Q3,No,0,34,Offer C,Yes,4.66,No,Yes,Fiber Optic,21,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,70.0,2,Yes
1334,Female,46,No,No,No,No,0,Q3,No,0,7,Offer E,Yes,48.36,No,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,2,Yes
1335,Female,33,No,No,No,No,0,Q3,No,0,18,No Offer,Yes,34.21,Yes,Yes,Fiber Optic,19,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.1,1,Yes
1336,Female,26,Yes,No,No,No,0,Q3,No,0,2,No Offer,Yes,30.73,No,Yes,Fiber Optic,39,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,68.95,1,Yes
1337,Male,39,No,No,Yes,No,0,Q3,Yes,1,32,Offer C,Yes,33.57,Yes,Yes,Fiber Optic,26,Yes,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,99.55,1,Yes
1338,Male,53,No,No,Yes,No,0,Q3,Yes,1,18,No Offer,Yes,2.86,No,Yes,DSL,22,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,57.45,1,Yes
1339,Male,27,Yes,No,Yes,No,0,Q3,Yes,1,12,No Offer,Yes,27.82,No,Yes,DSL,26,No,No,No,No,No,Yes,Yes,Yes,One Year,No,Credit Card,53.65,1,Yes
1340,Male,62,No,No,Yes,No,0,Q3,Yes,1,26,Offer C,Yes,35.9,Yes,Yes,Cable,26,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,3,Yes
1341,Male,44,No,No,Yes,No,0,Q3,Yes,1,38,No Offer,Yes,35.61,No,Yes,Fiber Optic,13,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.45,1,Yes
1342,Male,37,No,No,Yes,No,0,Q3,Yes,1,32,No Offer,Yes,5.99,No,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.75,2,Yes
1343,Female,50,No,No,No,No,0,Q3,No,0,1,Offer E,Yes,6.08,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.65,3,Yes
1344,Female,55,No,No,No,No,0,Q3,No,0,5,Offer E,No,0.0,No,Yes,DSL,2,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,39.5,2,Yes
1345,Male,58,No,No,Yes,No,0,Q3,Yes,1,40,Offer B,Yes,16.33,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.1,3,Yes
1346,Female,26,Yes,No,No,No,0,Q3,No,0,5,Offer E,Yes,43.99,No,Yes,Fiber Optic,42,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,80.0,3,Yes
1347,Female,40,No,No,No,No,0,Q3,No,0,10,No Offer,Yes,45.69,No,Yes,Fiber Optic,18,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,84.7,1,Yes
1348,Male,49,No,No,Yes,No,0,Q3,Yes,1,2,Offer E,Yes,8.86,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.55,1,Yes
1349,Male,21,Yes,No,No,No,0,Q3,No,0,23,No Offer,Yes,38.69,Yes,Yes,Cable,69,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.6,2,Yes
1350,Female,64,No,No,No,No,0,Q3,No,0,23,No Offer,Yes,3.55,Yes,Yes,Fiber Optic,4,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.05,2,Yes
1351,Male,54,No,No,Yes,No,0,Q3,Yes,1,49,Offer B,Yes,20.48,Yes,Yes,Fiber Optic,22,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.05,2,Yes
1352,Female,46,No,No,No,No,0,Q3,No,0,2,No Offer,Yes,26.44,No,Yes,Fiber Optic,24,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,69.75,1,Yes
1353,Female,42,No,No,No,No,0,Q3,No,0,2,Offer E,Yes,14.7,No,Yes,DSL,13,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,49.05,1,Yes
1354,Male,32,No,No,No,No,0,Q3,No,0,7,Offer E,Yes,9.25,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.05,1,Yes
1355,Female,23,Yes,No,No,No,0,Q3,No,0,41,Offer B,Yes,21.56,Yes,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,114.5,1,Yes
1356,Male,51,No,No,No,No,0,Q3,No,0,2,Offer E,Yes,17.33,No,Yes,Fiber Optic,14,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.95,3,Yes
1357,Male,63,No,No,Yes,No,0,Q3,Yes,1,25,No Offer,Yes,35.27,No,Yes,Fiber Optic,4,No,No,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,90.4,3,Yes
1358,Male,21,Yes,No,Yes,No,0,Q3,Yes,1,3,Offer E,Yes,29.29,No,Yes,Cable,52,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,56.15,1,Yes
1359,Female,59,No,No,No,No,0,Q3,No,0,4,Offer E,Yes,39.68,No,Yes,Fiber Optic,18,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.4,1,Yes
1360,Female,62,No,No,Yes,No,0,Q3,No,0,37,No Offer,Yes,37.49,Yes,Yes,Fiber Optic,29,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,78.95,3,Yes
1361,Female,27,Yes,No,No,No,0,Q3,No,0,19,No Offer,No,0.0,No,Yes,DSL,48,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,44.85,3,Yes
1362,Male,23,Yes,No,No,No,0,Q3,No,0,7,Offer E,Yes,21.58,No,Yes,Fiber Optic,71,No,No,Yes,No,No,No,Yes,No,Month-to-Month,No,Mailed Check,74.65,3,Yes
1363,Female,51,No,No,Yes,No,0,Q3,Yes,1,14,Offer D,Yes,20.4,Yes,Yes,DSL,30,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,64.7,1,Yes
1364,Male,38,No,No,No,No,0,Q3,No,0,1,No Offer,No,0.0,No,Yes,DSL,26,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,35.55,1,Yes
1365,Female,32,No,No,No,No,0,Q3,No,0,2,Offer E,Yes,38.51,Yes,Yes,Fiber Optic,25,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.15,2,Yes
1366,Male,54,No,No,Yes,No,0,Q3,Yes,4,13,Offer D,Yes,45.6,No,Yes,Fiber Optic,11,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,96.65,1,Yes
1367,Male,41,No,No,No,No,0,Q3,No,0,1,Offer E,No,0.0,No,Yes,DSL,6,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,31.35,2,Yes
1368,Female,57,No,No,No,No,0,Q3,No,0,12,Offer D,Yes,14.38,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,3,Yes
1369,Male,33,No,No,Yes,No,0,Q3,Yes,9,60,Offer B,Yes,47.4,No,Yes,Cable,29,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,94.4,2,Yes
1370,Male,32,No,No,No,No,0,Q3,No,0,1,Offer E,Yes,31.77,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.85,2,Yes
1371,Female,55,No,No,No,No,0,Q3,No,0,6,Offer E,Yes,20.36,Yes,Yes,Fiber Optic,10,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,109.9,1,Yes
1372,Male,42,No,No,No,No,0,Q3,No,0,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,2,Yes
1373,Female,19,Yes,No,No,No,0,Q3,No,0,1,Offer E,Yes,33.48,Yes,Yes,Cable,59,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,60.15,3,Yes
1374,Male,31,No,No,No,No,0,Q3,No,0,7,Offer E,Yes,35.91,Yes,Yes,Fiber Optic,27,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.45,2,Yes
1375,Male,48,No,No,Yes,No,0,Q3,Yes,1,53,Offer B,Yes,15.77,No,Yes,Fiber Optic,9,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,94.25,3,Yes
1376,Male,26,Yes,No,No,No,0,Q3,No,0,1,Offer E,Yes,1.84,Yes,Yes,Fiber Optic,76,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,3,Yes
1377,Female,34,No,No,No,No,0,Q3,No,0,1,Offer E,Yes,32.92,No,Yes,Fiber Optic,3,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.25,2,Yes
1378,Male,58,No,No,Yes,No,0,Q3,Yes,1,17,Offer D,Yes,44.97,No,Yes,Fiber Optic,11,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.0,2,Yes
1379,Female,62,No,No,Yes,No,0,Q3,Yes,1,11,Offer D,Yes,15.69,Yes,Yes,DSL,12,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,66.35,1,Yes
1380,Male,58,No,No,No,No,0,Q3,No,0,19,Offer D,Yes,20.41,Yes,Yes,Fiber Optic,11,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,86.0,1,Yes
1381,Female,37,No,No,Yes,No,0,Q3,Yes,1,3,Offer E,Yes,48.38,No,Yes,Fiber Optic,14,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.3,1,Yes
1382,Male,40,No,No,No,No,0,Q3,No,0,24,No Offer,Yes,35.93,Yes,Yes,Fiber Optic,5,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,90.55,2,Yes
1383,Female,30,No,No,No,No,0,Q3,No,0,2,No Offer,Yes,26.87,Yes,Yes,Fiber Optic,52,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.9,1,Yes
1384,Male,47,No,No,Yes,No,0,Q3,Yes,1,1,No Offer,Yes,14.9,No,Yes,DSL,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.85,2,Yes
1385,Female,36,No,No,Yes,No,0,Q3,Yes,1,16,Offer D,No,0.0,No,Yes,DSL,29,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,49.95,1,Yes
1386,Male,36,No,No,Yes,No,0,Q3,Yes,1,34,No Offer,Yes,13.45,No,Yes,Fiber Optic,12,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,78.3,3,Yes
1387,Male,44,No,No,No,No,0,Q3,No,0,3,No Offer,Yes,38.38,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,76.95,2,Yes
1388,Male,49,No,No,No,No,0,Q3,No,0,1,No Offer,Yes,34.37,No,Yes,DSL,28,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.3,3,Yes
1389,Female,47,No,No,No,No,0,Q3,No,0,15,Offer D,Yes,33.14,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.4,1,Yes
1390,Female,46,No,No,No,No,0,Q3,No,0,11,Offer D,Yes,22.36,Yes,Yes,Cable,3,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.15,1,Yes
1391,Male,23,Yes,No,No,No,0,Q3,No,0,1,No Offer,Yes,48.03,No,Yes,Cable,73,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,45.05,1,Yes
1392,Female,53,No,No,No,No,0,Q3,No,0,1,No Offer,Yes,14.48,No,Yes,Fiber Optic,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.8,1,Yes
1393,Female,54,No,No,No,No,0,Q3,No,0,7,No Offer,Yes,19.21,No,Yes,Fiber Optic,16,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,79.3,1,Yes
1394,Female,53,No,No,No,No,0,Q3,No,0,2,No Offer,No,0.0,No,Yes,DSL,18,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.9,2,Yes
1395,Male,43,No,No,Yes,No,0,Q3,Yes,1,59,Offer B,Yes,22.71,Yes,Yes,Fiber Optic,26,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.15,1,Yes
1396,Male,20,Yes,No,Yes,No,0,Q3,Yes,1,8,No Offer,Yes,5.34,No,Yes,Fiber Optic,42,Yes,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,75.0,1,Yes
1397,Male,35,No,No,No,No,0,Q3,No,0,6,No Offer,Yes,41.16,No,Yes,Cable,10,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,44.75,2,Yes
1398,Female,41,No,No,Yes,No,0,Q3,Yes,1,11,Offer D,Yes,24.83,No,Yes,DSL,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.05,1,Yes
1399,Female,30,No,No,No,No,0,Q3,No,0,70,Offer A,Yes,10.21,Yes,Yes,Fiber Optic,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,115.55,1,Yes
